Task,count
"The Software Protection service has completed licensing status check.
Application Id=55c92734-d682-4d71-983e-d6ec3f16059f
Licensing Status=
1: 0567073a-7d74-403b-b2d5-6b35da372d8d, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
2: 1b750385-9fe2-49a8-ab55-149d0546395b, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
3: 1d873132-f09f-4eb2-bf5a-2e4fb48935e8, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
4: 2b1f36bb-c1cd-4306-bf5c-a0367c2d97d8, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
5: 30d469c6-a78f-4476-b5c8-af78d5b6a5fb, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
6: 3ae2cc14-ab2d-41f4-972f-5e20142771dc, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
7: 4002e33a-524c-4100-8108-131a0d42c0ea, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
8: 411b3d4f-be6d-4a06-baaa-9cabfc256cae, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
9: 58e97c99-f377-4ef1-81d5-4ad5522b5fd8, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
10: 653098ee-780d-4863-8cf2-d18399ce413b, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
11: 71f411ae-7b4b-41bd-b68c-c519c499f950, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
12: 74436dbb-cc17-46de-867f-14906ba4a938, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
13: 8a292df8-d653-4057-8133-a0701792f912, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
14: 8db63db6-4f8f-46d6-a448-66444faaaa72, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
15: b0f8a518-2c58-4eb8-9319-084f0eb4ddc4, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
16: cd918a57-a41b-4c82-8dce-1a538e221a83, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
17: da9621af-f086-4244-b563-18611e51aa1a, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
18: e371d89a-73e8-4b24-a7ff-23a3641dd18e, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
19: ed799377-74b8-4989-a244-14d082e65972, 1, 1 [(0 )(1 )(2 [0x00000000, 1, 0], [(?)( 1 0x00000000)(?)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)(?)])(3 )]

",89
The Windows Security Center Service has started.,88
"Initialization status for service objects.
C:\WINDOWS\system32\sppwinob.dll, msft:spp/windowsfunctionality/agent/7.0, 0x00000000, 0x00000000
C:\WINDOWS\system32\sppobjs.dll, msft:rm/algorithm/inherited/1.0, 0x00000000, 0x00000000
C:\WINDOWS\system32\sppobjs.dll, msft:rm/algorithm/phone/1.0, 0x00000000, 0x00000000
C:\WINDOWS\system32\sppobjs.dll, msft:rm/algorithm/pkey/detect, 0x00000000, 0x00000000
C:\WINDOWS\system32\sppobjs.dll, msft:spp/ActionScheduler/1.0, 0x00000000, 0x00000000
C:\WINDOWS\system32\sppobjs.dll, msft:spp/TaskScheduler/1.0, 0x00000000, 0x00000000
C:\WINDOWS\system32\sppobjs.dll, msft:spp/statecollector/pkey, 0x00000000, 0x00000000
C:\WINDOWS\system32\sppobjs.dll, msft:spp/volume/services/kms/1.0, 0x00000000, 0x00000000
C:\WINDOWS\system32\sppobjs.dll, msft:spp/volume/services/kms/activationinfo/1.0, 0x00000000, 0x00000000
",88
Starting RAPS.exe ,75
envar KAPSS_HOME=C:\Program Files\Rivet Networks\SmartByte,75
"The Software Protection service is starting.
Parameters:<explicit>",71
Windows Installer reconfigured the product. Product Name: Microsoft .NET Runtime - 5.0.17 (x64). Product Version: 40.68.31213. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.,66
Windows Installer reconfigured the product. Product Name: Microsoft .NET Host FX Resolver - 5.0.17 (x64). Product Version: 40.68.31213. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.,66
Windows Installer reconfigured the product. Product Name: Microsoft .NET Host - 5.0.17 (x64). Product Version: 40.68.31213. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.,66
Windows Installer reconfigured the product. Product Name: Chrome Remote Desktop Host. Product Version: 96.0.4664.39. Product Language: 1033. Manufacturer: Google LLC. Reconfiguration success or error status: 0.,66
"Hardware has changed from previous boot.
 AppId=0ff1ce15-a989-479d-af46-f275c6370663, SkuId=149dbce7-a48e-44db-8364-a53386cd4580.",63
Successfully created restore point (Process = C:\WINDOWS\system32\lpksetup.exe -Embedding; Description = Language Pack Removal).,59
Windows Installer reconfigured the product. Product Name: Microsoft Update Health Tools. Product Version: 2.87.0.0. Product Language: 0. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.,57
Duplicate definition of policy found. Policy name=AAD-BlockAADWorkplaceJoin-Default  Priority=100,51
Duplicate definition of policy found. Policy name=Security-SPP-WriteWauMarker  Priority=500,51
"These policies are being excluded since they are only defined with override-only attribute.
Policy Names=(Security-SPP-Reserved-EnableNotificationMode) 
App Id=55c92734-d682-4d71-983e-d6ec3f16059f
Sku Id=ed799377-74b8-4989-a244-14d082e65972",51
"Failed extract of third-party root list from auto update cab at: <http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab> with error: The data is invalid.
.",50
"The Software Protection service has completed licensing status check.
Application Id=0ff1ce15-a989-479d-af46-f275c6370663
Licensing Status=
1: fafaaabc-4bc0-4efe-a9fc-b8aa32d0e101, 1, 1 [(0 )(1 )(2 )(3 [0x00000000, 0, 0], [( 6 0xC004F009 5 0)( 1 0x00000000)( 6 0xC004F009 5 0)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)( 11 0x00000000 0xC004F009)])]

",50
"The Software Protection service has completed licensing status check.
Application Id=0ff1ce15-a989-479d-af46-f275c6370663
Licensing Status=
1: d7279dd0-e175-49fe-a623-8fc2fc00afc4, 1, 1 [(0 )(1 )(2 )(3 [0x00000000, 0, 0], [( 6 0xC004F009 5 0)( 1 0x00000000)( 6 0xC004F009 5 0)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)( 11 0x00000000 0xC004F009)])]

",50
"The Software Protection service has completed licensing status check.
Application Id=0ff1ce15-a989-479d-af46-f275c6370663
Licensing Status=
1: 3ad61e22-e4fe-497f-bdb1-3e51bd872173, 1, 1 [(0 )(1 )(2 )(3 [0x00000000, 0, 0], [( 6 0xC004F009 5 0)( 1 0x00000000)( 6 0xC004F009 5 0)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)( 11 0x00000000 0xC004F009)])]

",50
"The Software Protection service is starting.
Parameters:TriggerStarted:6",50
"These policies are being excluded since they are only defined with override-only attribute.
Policy Names=(Security-SPP-Reserved-EnableNotificationMode) 
App Id=0ff1ce15-a989-479d-af46-f275c6370663
Sku Id=480df7d5-b237-45b2-96fb-e4624b12040a",44
The storage optimizer successfully completed defragmentation on New Volume (D:),43
The storage optimizer successfully completed retrim on New Volume (D:),43
The storage optimizer successfully completed defragmentation on OS (C:),42
The storage optimizer successfully completed retrim on OS (C:),42
"The description for Event ID 5001 from source AVLogEvent cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 


The message resource is present but the message was not found in the message table
",38
Updated McAfee Firewall status successfully to SECURITY_PRODUCT_STATE_OFF.,36
Windows Installer reconfigured the product. Product Name: Dell Update for Windows 10. Product Version: 4.3.0. Product Language: 1033. Manufacturer: Dell Inc.. Reconfiguration success or error status: 0.,34
Windows Installer reconfigured the product. Product Name: Dell SupportAssist. Product Version: 3.10.3.3. Product Language: 1033. Manufacturer: Dell Inc.. Reconfiguration success or error status: 0.,33
Intel(R) WMI Registration Service has successfully finished WMI Registration.,33
Intel(R) WMI Registration Service started.,33
Windows Installer reconfigured the product. Product Name: Dell SupportAssist. Product Version: 3.12.3.5. Product Language: 1033. Manufacturer: Dell Inc.. Reconfiguration success or error status: 0.,33
Windows Installer reconfigured the product. Product Name: Chrome Remote Desktop Host. Product Version: 101.0.4951.13. Product Language: 1033. Manufacturer: Google LLC. Reconfiguration success or error status: 0.,33
Windows Installer reconfigured the product. Product Name: Microsoft .NET Host FX Resolver - 6.0.9 (x64). Product Version: 48.39.47157. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.,32
Windows Installer reconfigured the product. Product Name: Microsoft .NET Runtime - 6.0.9 (x64). Product Version: 48.39.47157. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.,32
Windows Installer reconfigured the product. Product Name: Microsoft .NET Host - 6.0.9 (x64). Product Version: 48.39.47157. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.,32
Service has been successfully shut down.,32
"The User Profile Service has stopped.  

",31
The Windows Management Instrumentation service has detected an inconsistent system shutdown.,31
Windows Installer reconfigured the product. Product Name: Dell SupportAssist OS Recovery Plugin for Dell Update. Product Version: 5.5.1.16143. Product Language: 1033. Manufacturer: Dell Inc.. Reconfiguration success or error status: 0.,30
Windows Installer reconfigured the product. Product Name: Dell SupportAssist OS Recovery Plugin for Dell Update. Product Version: 5.5.4.16189. Product Language: 1033. Manufacturer: Dell Inc.. Reconfiguration success or error status: 0.,29
The storage optimizer couldn't complete defragmentation on OS (C:) because: The user cancelled the operation. (0x89000006),28
Windows Installer reconfigured the product. Product Name: Dell SupportAssist. Product Version: 3.12.1.180. Product Language: 1033. Manufacturer: Dell Inc.. Reconfiguration success or error status: 0.,28
"The description for Event ID 256 from source SDSSnapshotProcess cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 


The system cannot find the file specified
",27
"The description for Event ID 274 from source SDSSnapshotProcess cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 


The system cannot find the file specified
",27
Windows Installer reconfigured the product. Product Name: Microsoft .NET Runtime - 6.0.8 (x64). Product Version: 48.35.45462. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.,27
Windows Installer reconfigured the product. Product Name: Microsoft .NET Host FX Resolver - 6.0.8 (x64). Product Version: 48.35.45462. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.,27
Windows Installer reconfigured the product. Product Name: Microsoft .NET Host - 6.0.8 (x64). Product Version: 48.35.45462. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.,27
Windows Installer reconfigured the product. Product Name: SecureExamBrowser. Product Version: 1.4.3. Product Language: 1033. Manufacturer: Hirepro. Reconfiguration success or error status: 0.,27
"The description for Event ID 264 from source SDSSnapshotProcess cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 


The system cannot find the file specified
",27
"The description for Event ID 278 from source SDSSnapshotProcess cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 


The system cannot find the file specified
",26
"The Software Protection service has completed licensing status check.
Application Id=0ff1ce15-a989-479d-af46-f275c6370663
Licensing Status=
1: 149dbce7-a48e-44db-8364-a53386cd4580, 1, 1 [(0 [0xC004E003, 0, 0], [( 1 0xC004E022)( 1 0xC004E022)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 [0x00000000, 0, 0], [( 6 0xC004F009 10 0)( 1 0x00000000)( 6 0xC004F009 10 0)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)( 11 0x00000000 0xC004E022)])]

",26
"The description for Event ID 276 from source SDSSnapshotProcess cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 


The system cannot find the file specified
",26
Windows Installer reconfigured the product. Product Name: Dell SupportAssist Remediation. Product Version: 5.5.4.16189. Product Language: 1033. Manufacturer: Dell Inc.. Reconfiguration success or error status: 0.,26
"The description for Event ID 272 from source SDSSnapshotProcess cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 


The system cannot find the file specified
",26
